Datetime,shares,sharesacc
19/03/2025 00:00:00,0,0
20/03/2025 00:00:00,0,0
21/03/2025 00:00:00,0.5,0.5
22/03/2025 00:00:00,0,0.5
23/03/2025 00:00:00,0,0.5
24/03/2025 00:00:00,0,0.5
25/03/2025 00:00:00,0,0.5
26/03/2025 00:00:00,0,0.5
27/03/2025 00:00:00,0,0.5
28/03/2025 00:00:00,0.5,1
29/03/2025 00:00:00,0,1
30/03/2025 00:00:00,0,1
31/03/2025 00:00:00,0,1
01/04/2025 00:00:00,0,1
02/04/2025 00:00:00,0,1
03/04/2025 00:00:00,0,1
04/04/2025 00:00:00,0,1
05/04/2025 00:00:00,0,1
06/04/2025 00:00:00,0,1
07/04/2025 00:00:00,0.5,1.5
08/04/2025 00:00:00,0,1.5
09/04/2025 00:00:00,0,1.5
10/04/2025 00:00:00,0,1.5
11/04/2025 00:00:00,0,1.5
12/04/2025 00:00:00,0,1.5
13/04/2025 00:00:00,0,1.5
14/04/2025 00:00:00,0.5,2
15/04/2025 00:00:00,0,2
16/04/2025 00:00:00,0,2
17/04/2025 00:00:00,0,2
18/04/2025 00:00:00,0,2
19/04/2025 00:00:00,0,2
20/04/2025 00:00:00,0,2
21/04/2025 00:00:00,0.5,2.5
22/04/2025 00:00:00,0,2.5
23/04/2025 00:00:00,0,2.5
24/04/2025 00:00:00,0,2.5
25/04/2025 00:00:00,0,2.5
26/04/2025 00:00:00,0,2.5
27/04/2025 00:00:00,0,2.5
28/04/2025 00:00:00,0.5,3
29/04/2025 00:00:00,0,3
30/04/2025 00:00:00,0,3
01/05/2025 00:00:00,0,3
02/05/2025 00:00:00,0,3
03/05/2025 00:00:00,0,3
04/05/2025 00:00:00,0,3
05/05/2025 00:00:00,0,3
06/05/2025 00:00:00,0,3
07/05/2025 00:00:00,0.5,3.5
08/05/2025 00:00:00,0,3.5
09/05/2025 00:00:00,0,3.5
10/05/2025 00:00:00,0,3.5
11/05/2025 00:00:00,0,3.5
12/05/2025 00:00:00,0,3.5
13/05/2025 00:00:00,0,3.5
14/05/2025 00:00:00,0.5,4
15/05/2025 00:00:00,0,4
16/05/2025 00:00:00,0,4
17/05/2025 00:00:00,0,4
18/05/2025 00:00:00,0,4
19/05/2025 00:00:00,0,4
20/05/2025 00:00:00,0,4
21/05/2025 00:00:00,0.5,4.5
22/05/2025 00:00:00,0,4.5
23/05/2025 00:00:00,0,4.5
24/05/2025 00:00:00,0,4.5
25/05/2025 00:00:00,0,4.5
26/05/2025 00:00:00,0,4.5
27/05/2025 00:00:00,0,4.5
28/05/2025 00:00:00,0.5,5
29/05/2025 00:00:00,0,5
30/05/2025 00:00:00,0,5
31/05/2025 00:00:00,0,5
01/06/2025 00:00:00,0,5
02/06/2025 00:00:00,0,5
03/06/2025 00:00:00,0,5
04/06/2025 00:00:00,0,5
05/06/2025 00:00:00,0,5
06/06/2025 00:00:00,0,5
07/06/2025 00:00:00,0.5,5.5
08/06/2025 00:00:00,0,5.5
09/06/2025 00:00:00,0,5.5
10/06/2025 00:00:00,0,5.5
11/06/2025 00:00:00,0,5.5
12/06/2025 00:00:00,0,5.5
13/06/2025 00:00:00,0,5.5
14/06/2025 00:00:00,0.5,6
15/06/2025 00:00:00,0,6
16/06/2025 00:00:00,0,6
17/06/2025 00:00:00,0,6
18/06/2025 00:00:00,0,6
19/06/2025 00:00:00,0,6
20/06/2025 00:00:00,0,6
21/06/2025 00:00:00,0.5,6.5
22/06/2025 00:00:00,0,6.5
23/06/2025 00:00:00,0,6.5
24/06/2025 00:00:00,0,6.5
25/06/2025 00:00:00,0,6.5
26/06/2025 00:00:00,0,6.5
27/06/2025 00:00:00,0,6.5
28/06/2025 00:00:00,0.5,7
29/06/2025 00:00:00,0,7
30/06/2025 00:00:00,0,7
01/07/2025 00:00:00,0,7
02/07/2025 00:00:00,0,7
03/07/2025 00:00:00,0,7
04/07/2025 00:00:00,0,7
05/07/2025 00:00:00,0,7
06/07/2025 00:00:00,0,7
07/07/2025 00:00:00,0.5,7.5
08/07/2025 00:00:00,0,7.5
09/07/2025 00:00:00,0,7.5
10/07/2025 00:00:00,0,7.5
11/07/2025 00:00:00,0,7.5
12/07/2025 00:00:00,0,7.5
13/07/2025 00:00:00,0,7.5
14/07/2025 00:00:00,0.5,8
15/07/2025 00:00:00,0,8
16/07/2025 00:00:00,0,8
17/07/2025 00:00:00,0,8
18/07/2025 00:00:00,0,8
19/07/2025 00:00:00,0,8
20/07/2025 00:00:00,0,8
21/07/2025 00:00:00,0.5,8.5
22/07/2025 00:00:00,0,8.5
23/07/2025 00:00:00,0,8.5
24/07/2025 00:00:00,0,8.5
25/07/2025 00:00:00,0,8.5
26/07/2025 00:00:00,0,8.5
27/07/2025 00:00:00,0,8.5
28/07/2025 00:00:00,0.5,9
29/07/2025 00:00:00,0,9
30/07/2025 00:00:00,0,9
31/07/2025 00:00:00,0,9
01/08/2025 00:00:00,0,9
02/08/2025 00:00:00,0,9
03/08/2025 00:00:00,0,9
04/08/2025 00:00:00,0,9
05/08/2025 00:00:00,0,9
06/08/2025 00:00:00,0,9
07/08/2025 00:00:00,0.5,9.5
08/08/2025 00:00:00,0,9.5
09/08/2025 00:00:00,0,9.5
10/08/2025 00:00:00,0,9.5
11/08/2025 00:00:00,0,9.5
12/08/2025 00:00:00,0,9.5
13/08/2025 00:00:00,0,9.5
14/08/2025 00:00:00,0.5,10
15/08/2025 00:00:00,0,10
16/08/2025 00:00:00,0,10
17/08/2025 00:00:00,0,10
